1,25,0,0,6,0,1,1,1,1600715393,false,false,
2,8,0,0,11,0,1,1,1,1600714638,false,false,
3,0,0,0,3,0,0,1,1,1599224540,false,false,
4,17,0,0,6,0,1,1,1,1600714829,false,false,
5,8,0,0,23,0,1,1,1,1600715271,false,false,
6,6,0,2,23,0,1,1,1,1600714429,false,false,
7,4,1,0,27,0,1,1,1,1600715003,false,false,
8,11,1,0,16,0,1,1,1,1600714377,false,false,
9,11,1,0,12,0,1,1,1,1600714433,false,false,
10,7,0,0,8,0,1,1,1,1600712939,false,false,
11,10,0,0,17,0,1,1,1,1600711629,false,false,
12,11,0,0,38,0,1,1,1,1600715284,false,false,
13,8,0,1,22,0,1,1,1,1600712387,false,false,
14,13,0,1,29,0,1,1,1,1600715410,false,false,
15,13,0,2,16,0,1,1,1,1600715383,false,false,
16,1,0,0,26,0,1,1,1,1600713159,false,false,
17,12,0,0,19,0,1,1,1,1600715276,false,false,
18,3,0,0,16,0,1,1,1,1600712863,false,false,
19,7,0,1,15,0,1,1,1,1600715234,false,false,
20,12,0,0,7,0,1,1,1,1600714883,false,false,
21,13,1,0,18,0,1,1,1,1600715123,false,false,
22,15,0,0,36,0,1,1,1,1600714398,false,false,
23,15,0,0,12,0,1,1,1,1600705545,false,false,
24,11,1,0,4,0,1,1,1,1600715389,false,false,
25,14,1,0,67,0,1,1,1,1600715163,false,false,
26,13,1,0,10,0,1,1,1,1600715092,false,false,
28,6,0,0,13,0,1,1,1,1600710945,false,false,
30,12,2,0,3,0,1,1,1,1600714150,false,false,
31,6,0,0,23,0,1,1,1,1600713677,false,false,
32,3,0,0,12,0,1,1,1,1600711045,false,false,
34,8,1,0,30,0,1,1,1,1600713742,false,false,
35,11,0,1,31,0,1,1,1,1600715376,false,false,
36,4,0,0,11,0,1,1,1,1600714929,false,false,
37,10,1,1,12,0,1,1,1,1600715333,false,false,
38,6,0,0,17,0,1,1,1,1600712838,false,false,
39,0,0,0,3,4,0,1,1,1600428722,false,false,
40,0,0,0,11,0,0,1,1,1600347490,false,false,
